sent_id,de,en,ru,level,source,audio,tatoeba_audio_license
g-ab-p,Ab morgen habe ich eine Woche Urlaub.,"Starting tomorrow, I have a week off.",С завтрашнего дня у меня неделя отпуска.,A1,llm,sent_g-ab-p.mp3,
t6062,"Guten Abend, wie geht es Ihnen?","Good evening, how are you?","Добрый вечер, как ваши дела?",A1,tatoeba:6062,sent_t6062.mp3,
t3778694,Es ist aber ganz schön kalt heute!,It sure is cold today.,А сегодня прям холодно!,A1,tatoeba:3778694,sent_t3778694.mp3,
t1171,Wieso wollen Sie heute abfahren?,Why do you want to leave today?,Почему вы хотите уехать сегодня?,A1,tatoeba:1171,sent_t1171.mp3,
g-abfahrt-n,Die Abfahrt ist um acht Uhr.,The departure is at eight o'clock.,Отправление в восемь часов.,A1,llm,sent_g-abfahrt-n.mp3,
g-abfliegen-v,Die Flugzeuge fliegen um zehn Uhr ab.,The planes take off at ten o'clock.,Самолёты вылетают в десять часов.,A1,llm,sent_g-abfliegen-v.mp3,
t11810967,Das Flugzeug ist bereit für den Abflug.,The airplane is ready for takeoff.,Самолёт готов к вылету.,A1,tatoeba:11810967,sent_t11810967.mp3,
t6822346,Ich kann dir die Hälfte meines Brotes abgeben.,I can give you half of my sandwich.,Я могу отдать тебе половину моего хлеба.,A1,tatoeba:6822346,sent_t6822346.mp3,
t2601707,Wann soll ich dich abholen?,When would you like me to pick you up?,Во сколько мне тебя забрать?,A1,tatoeba:2601707,sent_t2601707.mp3,CC BY-NC 4.0
g-absender-n,Der Absender steht auf dem Brief.,The sender is on the letter.,Отправитель указан на письме.,A1,llm,sent_g-absender-n.mp3,
t345384,Es ist acht Uhr morgens.,It's eight o'clock in the morning.,Сейчас восемь часов утра.,A1,tatoeba:345384,sent_t345384.mp3,CC BY-NC 4.0
t6032927,Achtung! Da ist ein Hai!,"Look out, there's a shark!",Осторожно! Там акула!,A1,tatoeba:6032927,sent_t6032927.mp3,
t1800008,Ich bin achtzehn Jahre.,I'm 18 years old.,Мне 18 лет.,A1,tatoeba:1800008,sent_t1800008.mp3,
t8963221,Dieses Buch hat mehr als achtzig Seiten.,This book has more than eighty pages.,В этой книге больше восьмидесяти страниц.,A1,tatoeba:8963221,sent_t8963221.mp3,
t1493422,Ich habe ihm meine Adresse gegeben.,I gave him my address.,Я дал ему свой адрес.,A1,tatoeba:1493422,sent_t1493422.mp3,CC BY-NC 4.0
t415187,Alle Blumen im Garten sind gelb.,All the flowers in the garden are yellow.,Все цветы в саду желтые.,A1,tatoeba:415187,sent_t415187.mp3,
t601463,Alle Jungen in der Klasse haben hart gearbeitet.,All the boys in class worked hard.,Все мальчики в классе работали усердно.,A1,tatoeba:601463,sent_t601463.mp3,
t1924996,Tom isst für gewöhnlich allein.,Tom usually eats alone.,Том обычно ест один.,A1,tatoeba:1924996,sent_t1924996.mp3,
t3543776,Du bist nicht alleine.,You're not alone.,Ты не один.,A1,tatoeba:3543776,sent_t3543776.mp3,
t447,"Du bist an meiner Seite, jetzt ist alles gut.",You're by my side; everything's fine now.,"Ты рядом со мной, теперь всё хорошо.",A1,tatoeba:447,sent_t447.mp3,
t6622494,"Also dann bis Dienstag. Bis morgen, meine ich.",I'll see you on Tuesday. I mean tomorrow.,"Ну, до вторника. То есть до завтра.",A1,tatoeba:6622494,sent_t6622494.mp3,
t406765,Er ist ein alter Freund von mir.,He is an old friend of mine.,Он мой старый друг.,A1,tatoeba:406765,sent_t406765.mp3,CC BY-NC 4.0
t352804,Sie ist ungefähr in meinem Alter.,She is about my age.,Она примерно моего возраста.,A1,tatoeba:352804,sent_t352804.mp3,CC BY-NC 4.0
t366349,Ich füttere meinen Hund zweimal am Tag.,I feed my dog twice a day.,Я кормлю собаку дважды в день.,A1,tatoeba:366349,sent_t366349.mp3,
