word_id,lemma,display,pos,gender,plural,verb_forms,level,topic,en,ru,freq_rank,source,audio,status
ab-p,ab,ab,prep,,,,A1,grundwortschatz,"from, starting from","с, начиная с",,dwds,word_ab-p.mp3,qa_flagged
abend-n,Abend,der Abend,noun,mask.,Abende,,A1,grundwortschatz,evening,вечер,,dwds,word_abend-n.mp3,enriched
aber-c,aber,aber,conj,,,,A1,grundwortschatz,"but, however","но, однако",,dwds,word_aber-c.mp3,enriched
abfahren-v,abfahren,abfahren,verb,,,"fährt ab, fuhr ab, ist abgefahren",A1,reisen-verkehr,"depart, leave","отправляться, уезжать",,dwds,word_abfahren-v.mp3,enriched
abfahrt-n,Abfahrt,die Abfahrt,noun,fem.,Abfahrten,,A1,reisen-verkehr,"departure, exit","отправление, съезд",,dwds,word_abfahrt-n.mp3,enriched
abfliegen-v,abfliegen,abfliegen,verb,,,"fliegt ab, flog ab, ist abgeflogen",A1,reisen-verkehr,"take off, fly away","взлетать, улетать",,dwds,word_abfliegen-v.mp3,enriched
abflug-n,Abflug,der Abflug,noun,mask.,Abflüge,,A1,reisen-verkehr,"departure, takeoff","вылет, взлёт",,dwds,word_abflug-n.mp3,enriched
abgeben-v,abgeben,abgeben,verb,,,"gibt ab, gab ab, hat abgegeben",A1,dienstleistungen,"give away, hand over","отдавать, передавать",,dwds,word_abgeben-v.mp3,enriched
abholen-v,abholen,abholen,verb,,,,A1,reisen-verkehr,"pick up, collect","забирать, получать",,dwds,word_abholen-v.mp3,enriched
absender-n,Absender,der Absender,noun,mask.,Absender,,A1,dienstleistungen,"sender, return address","отправитель, обратный адрес",,dwds,word_absender-n.mp3,enriched
acht-o,acht,acht,num,,,,A1,grundwortschatz,eight,восемь,,dwds,word_acht-o.mp3,enriched
achtung-n,Achtung,die Achtung,noun,fem.,(Sg.),,A1,grundwortschatz,"attention, caution","внимание, осторожность",,dwds,word_achtung-n.mp3,enriched
achtzehn-o,achtzehn,achtzehn,num,,,,A1,grundwortschatz,eighteen,восемнадцать,,dwds,word_achtzehn-o.mp3,enriched
achtzig-o,achtzig,achtzig,num,,,,A1,grundwortschatz,eighty,восемьдесят,,dwds,word_achtzig-o.mp3,enriched
adresse-n,Adresse,die Adresse,noun,fem.,Adressen,,A1,person-familie,address,адрес,,dwds,word_adresse-n.mp3,enriched
all-o,all,all,pron,,,,A1,grundwortschatz,"all, every","весь, каждый",,dwds,word_all-o.mp3,enriched
alle-p,alle,alle,pron,,,,A1,grundwortschatz,"all, everyone",все,,dwds,word_alle-p.mp3,qa_flagged
allein-o,allein,allein,adv,,,,A1,person-familie,"alone, single","один, одинокий",,dwds,word_allein-o.mp3,enriched
