word_id,display,flags,our_en,wikt_en,our_ru,wikt_ru
ab-p,ab,ru_mismatch,"from, starting from","beginning at that time or location; from | off, detached (not attached to anything anymore, having come off) | from","с, начиная с",из | от | с
alle-p,alle,ru_mismatch,"all, everyone",finished; gone | used up | all gone,все,всё | кончиться (alle sein)
am-o,am,en_mismatch,"on, at the","Precedes the superlative in adverbial and predicate use. | Used to form the progressive aspect of verbs, especially intransitive ones.","в, на",
an-a,an,en_mismatch,"on, toward","on, upon, at, in, against | by, near, close to, next to | on; in; at","включён, к",у | на | в
ander-o,ander,en_mismatch,"other, another",See anderer. | second,"другой, иной",
anschluss-n,der Anschluss,ru_mismatch,"connection, phone line","connection, joining | annexation | Anschluss","соединение, телефонная линия",подключение | стыковка | контакт
anziehen-v,anziehen,ru_mismatch,"put on, attract",senses related to dressing | to attract | to attract one another,"надевать, привлекать",надеть | одеться | одеть
aufstehen-v,aufstehen,ru_mismatch,"get up, stand up","to get up (move from a sitting or lying position to a standing position; to get up from bed) | to rise up, to rebel | to rest (on something)","вставать, подниматься",встать | восстать | стоять открытым
aus-a,aus,ru_mismatch,"off, out",out | ago | over; finished; done; up,"выключено, наружу",из | с
ausland-n,das Ausland,ru_mismatch,"abroad, foreign country",foreign countries (collectively) | foreign country / foreign countries | outland,"за границей, зарубежье",заграница
bringen-v,bringen,ru_mismatch,"bring, take","to bring, to fetch, to take, to convey, to bear | to bring, to lead, to guide, to accompany | to cause (someone) to have (something); to cause (something) to exist for the benefit, or to the detriment, of (someone); to cause (something) to be a part of (something)","приносить, отводить",нести
broetchen-n,das Brötchen,ru_mismatch,"bread roll, bun","a bun, bread roll | a small open sandwich | bread roll",булочка,булка
das-o,das,en_mismatch,"the, that",nominative/accusative neuter singular of der,"этот, это",
eilig-a,eilig,en_mismatch;ru_mismatch,"hurried, in a hurry","speedy, hasty | urgent | hasty","спешащий, торопящийся",спешный | срочный
ein-o,ein,en_mismatch,"a, an","one | the same | a, an","один, какой-то",один
eins-o,eins,en_mismatch,"one, a grade A","one (numerical value represented by the Arabic numeral 1; first positive number in the set of natural numbers) | one, one o'clock | only used in (sich) eins sein (“to agree”) and (sich) eins werden (“to arrive at an agreement”)","один, пятёрка",один | одна | одно
fieber-n,das Fieber,ru_mismatch,"fever, temperature","fever (heightened body temperature) | vigour, confidence | fever, bug (obsession for an activity)","жар, температура",лихорадка
flasche-n,die Flasche,ru_mismatch,bottle,bottle; flask; flagon | loser; wimp; someone lacking skill or vigour | bottle,бутылка,буты́лка
fragen-v,fragen,ru_mismatch,"ask, inquire","to ask | to ask for, to ask after | to wonder (literally, “to ask (oneself)”)",спрашивать,спросить | задаваться вопросом
frueher-a,früher,en_mismatch,"earlier, formerly","former, erstwhile, previous (that which once was, but no longer is) | early | former","раньше, прежде",более ранний | прежний | предыдущий
fuehrung-n,die Führung,ru_mismatch,"tour, leadership",lead | leadership | command,"экскурсия, руководство",предводи́тельство
fuer-p,für,en_mismatch,for,describes an abstract directionality towards a person or matter | describes an exchange or exchangeability | for (for a certain duration),"для, за",для | за
geboren-o,geboren,ru_mismatch,born,born | née | nee,"рождённый, родившийся",урождённый | прирождённый
gemuese-n,das Gemüse,ru_mismatch,vegetables,"vegetable; vegetables (kinds of plants) | a seasoned vegetable-based side dish, such as a relish (not necessarily pickled and not usually in the form of a paste) | vegetable",овощи,овощ | зелень
geschwister-n,das Geschwister,ru_mismatch,siblings,sibling | siblings | brother and sister,братья и сёстры,брат и сестра
gleich-a-2,gleich,en_mismatch;ru_mismatch,"right away, soon",equal | same; very similar | same; identical,"сразу, скоро",одинаковый | равный | позже
glueckwunsch-n,der Glückwunsch,en_mismatch,"congratulations, good wishes",congratulation,"поздравление, добрые пожелания",поздравление
grillen-v,grillen,ru_mismatch,"barbecue, grill",to grill | barbecue | grill,"жарить на гриле, готовить барбекю",поджаривать
heiraten-v,heiraten,ru_mismatch,"marry, get married",to marry; to get married | to marry someone; to take someone as one's spouse | marry,"жениться, выйти замуж",сочетаться браком
heissen-v,heißen,ru_mismatch,"be called, mean","to have a name; to be named; to be called; but implying that one “owns” this name, not necessarily that one goes by it | to mean, to signify; to have a meaning | to say, to be said; to go, run (like)","зваться, означать",называться | значить
holen-v,holen,ru_mismatch,"get, fetch","to (go) get, to fetch (to go somewhere and take something to bring back) | to get, to cop (to buy for one's benefit/entertainment) | to catch, to get (an illness or injury)","принести, сходить за",приносить
haehnchen-n,das Hähnchen,ru_mismatch,chicken,chicken,"курица, цыплёнок",курятина
ich-o,ich,en_mismatch,I,I (first person singular nominative (subject) pronoun) | I | me,я,я
links-a,links,ru_mismatch,"left, to the left",on the left | to the left | inside out,"слева, налево",лево
lokal-n,das Lokal,ru_mismatch,"restaurant, pub","A restaurant, especially when small and/or traditional; a pub that serves hot food; an inn. | A room or facility used for public services. | pub","ресторан, кафе",бар
mitkommen-v,mitkommen,ru_mismatch,come along,"to come with, to join and come along with (another person) | to understand (something) | accompany","идти с кем-либо, присоединяться",сопроводить
